# Unicode CLDR 48.2 emoji annotations (English and Korean).
# Source: https://github.com/unicode-org/cldr/tree/release-48-2/common
# Copyright © 1991-2025 Unicode, Inc.
# SPDX-License-Identifier: Unicode-3.0
# emoji\tEnglish short name\tEnglish keywords\tKorean short name\tKorean keywords
🏋‍♀	woman lifting weights	barbell | bodybuilder | deadlift | lifter | lifting | powerlifting | weight | weightlifter | weights | woman | workout	여자 역도 선수	여자 | 여자 역도 선수 | 역도 | 역도선수
🚴	person biking	bicycle | bicyclist | bike | biking | cycle | cyclist | person | riding | sport	자전거 타는 사람	라이딩 | 바이크 | 사이클 | 사이클리스트 | 스포츠 | 자전거 | 자전거 선수 | 자전거 주행 | 자전거 타는 사람
🚴‍♂	man biking	bicycle | bicyclist | bike | biking | cycle | cyclist | man | riding | sport	자전거 타는 남자	라이딩 | 바이크 | 사이클 | 사이클리스트 | 스포츠 | 자전거 | 자전거 선수 | 자전거 주행 | 자전거 타는 남자
🚴‍♀	woman biking	bicycle | bicyclist | bike | biking | cycle | cyclist | riding | sport | woman	자전거 타는 여자	라이딩 | 바이커 | 바이킹 | 사이클리스트 | 선수 | 스포츠 | 자전거 | 자전거 타는 여자
🚵	person mountain biking	bicycle | bicyclist | bike | biking | cycle | cyclist | mountain | person | riding | sport	산악 자전거 타는 사람	라이딩 | 바이크 | 사이클리스트 | 산 | 산악 자전거 주행 | 산악 자전거 타는 사람 | 스포츠 | 자전거 | 자전거 타는 사람
🚵‍♂	man mountain biking	bicycle | bicyclist | bike | biking | cycle | cyclist | man | mountain | riding | sport	산악 자전거 타는 남자	남자 | 라이딩 | 바이크 | 사이클리스트 | 산 | 산악 자전거 | 산악 자전거 타는 남자 | 스포츠 | 자전거 | 자전거 타는 남자
🚵‍♀	woman mountain biking	bicycle | bicyclist | bike | biking | cycle | cyclist | mountain | riding | sport | woman	산악 자전거 타는 여자	사이클리스트 | 사이클링 | 산 | 산악 자전거 | 산악 자전거 타는 여자 | 스포츠 | 여자 | 자전거
🤸	person cartwheeling	active | cartwheel | cartwheeling | excited | flip | gymnastics | happy | person | somersault	옆돌기하는 사람	곡예 | 섬머솔트 | 옆돌기 | 옆돌기하는 사람 | 체조 | 풍차돌리기 | 행복 | 활동적 | 활력
🤸‍♂	man cartwheeling	active | cartwheel | cartwheeling | excited | flip | gymnastics | happy | man | somersault	옆돌기하는 남자	남자 | 섬머솔트 | 옆돌기 | 옆돌기하는 남자 | 재주넘기 | 체조 | 풍차돌리기 | 행복 | 활동적
🤸‍♀	woman cartwheeling	active | cartwheel | cartwheeling | excited | flip | gymnastics | happy | somersault | woman	옆돌기하는 여자	섬머솔트 | 여자 | 옆돌기 | 옆돌기하는 여자 | 재주넘기 | 체조 | 풍차돌리기 | 행복 | 활동적
🤼	people wrestling	combat | duel | grapple | people | ring | tournament | wrestle | wrestling	레슬링하는 사람	경기 | 레슬러 | 레슬링 | 레슬링 선수 | 레슬링하는 사람 | 링 | 스포츠 | 전투
🤼‍♂	men wrestling	combat | duel | grapple | men | ring | tournament | wrestle | wrestling	레슬링하는 남자	결투 | 경기 | 남자 | 레슬러 | 레슬링 | 레슬링하는 남자 | 레슬링하는 두 남자 | 시합
🤼‍♀	women wrestling	combat | duel | grapple | ring | tournament | women | wrestle | wrestling	레슬링하는 여자	결투 | 경기 | 레슬러 | 레슬링 | 레슬링하는 두 여자 | 레슬링하는 여자 | 시합 | 여자
🤽	person playing water polo	person | playing | polo | sport | swimming | water | waterpolo	수구하는 사람	수구 | 수구하는 사람 | 수상 스포츠 | 스포츠 | 워터폴로
🤽‍♂	man playing water polo	man | playing | polo | sport | swimming | water | waterpolo	수구하는 남자	남자 | 수구 | 수구하는 남자 | 수상스포츠 | 수영 | 수영복 | 워터폴로
🤽‍♀	woman playing water polo	playing | polo | sport | swimming | water | waterpolo | woman	수구하는 여자	수구 | 수구하는 여자 | 수상스포츠 | 수영 | 수영복 | 여자 | 워터폴로
🤾	person playing handball	athletics | ball | catch | chuck | handball | hurl | lob | person | pitch | playing | sport | throw | toss	핸드볼하는 사람	공놀이 | 구기종목 | 던지기 | 선수 | 스포츠 | 운동선수 | 투구 | 핸드볼 | 핸드볼하는 사람
🤾‍♂	man playing handball	athletics | ball | catch | chuck | handball | hurl | lob | man | pitch | playing | sport | throw | toss	핸드볼하는 남자	구기종목 | 남자 | 스포츠 | 핸드볼 | 핸드볼하는 남자
🤾‍♀	woman playing handball	athletics | ball | catch | chuck | handball | hurl | lob | pitch | playing | sport | throw | toss | woman	핸드볼하는 여자	공 | 구기종목 | 던지기 | 스포츠 | 여자 | 운동 선수 | 잡기 | 투구 | 핸드볼 | 핸드볼하는 여자
🤹	person juggling	act | balance | balancing | handle | juggle | juggling | manage | multitask | person | skill	저글링하는 사람	균형 | 멀티태스크 | 멀티태스킹 | 묘기 | 사람 | 저글 | 저글링 | 저글링하는 사람
🤹‍♂	man juggling	act | balance | balancing | handle | juggle | juggling | man | manage | multitask | skill	저글링하는 남자	균형 | 남자 | 멀티태스크 | 멀티태스킹 | 묘기 | 저글 | 저글링 | 저글링하는 남자
🤹‍♀	woman juggling	act | balance | balancing | handle | juggle | juggling | manage | multitask | skill | woman	저글링하는 여자	여자 | 저글 | 저글링 | 저글링하는 여자
🧘	person in lotus position	cross | legged | legs | lotus | meditation | peace | person | position | relax | serenity | yoga | yogi | zen	가부좌한 사람	가부좌 | 가부좌한 사람 | 다리 꼬기 | 명상 | 아빠다리 | 요가 | 요기 | 정좌 | 참선 | 평온 | 평화 | 휴식
🧘‍♂	man in lotus position	cross | legged | legs | lotus | man | meditation | peace | position | relax | serenity | yoga | yogi | zen	가부좌한 남자	가부좌 | 가부좌한 남자 | 다리 꼬기 | 명상 | 아빠다리 | 요가 | 요기 | 정좌 | 참선 | 평온 | 평화 | 휴식
🧘‍♀	woman in lotus position	cross | legged | legs | lotus | meditation | peace | position | relax | serenity | woman | yoga | yogi | zen	가부좌한 여자	가부좌 | 가부좌한 여자 | 다리 꼬기 | 명상 | 아빠다리 | 요가 | 요기 | 정좌 | 참선 | 평온 | 평화 | 휴식
🛀	person taking bath	bath | bathtub | person | taking | tub	목욕하는 사람	목욕 | 목욕하는 사람 | 욕조
🛌	person in bed	bed | bedtime | good | goodnight | hotel | nap | night | person | sleep | tired | zzz	침대에 누운 사람	굿밤 | 낮잠 | 안녕히 주무세요 | 잘 시간 | 잘자 | 잠 | 침대 | 침대에 누운 사람 | 쿨쿨쿨 | 피곤 | 호텔
🧑‍🤝‍🧑	people holding hands	bae | bestie | bff | couple | dating | flirt | friends | hand | hold | people | twins	손을 잡고 있는 두 명의 사람	사람 | 손 | 손을 잡고 | 손을 잡고 있는 두 명의 사람 | 커플
👭	women holding hands	bae | bestie | bff | couple | dating | flirt | friends | girls | hand | hold | sisters | twins | women	손을 잡고 있는 두 명의 여자	꼭 잡은 | 데이트 | 동성 연인 | 동성 커플 | 딸들 | 베스트프렌드 | 성소수자 | 손을 잡고 있는 두 명의 여자 | 손을 잡고 있는 레즈비언 커플 | 여성 커플 | 여자 | 연애 | 우정 | 자매 | 절친 | 친구 | 친구들 | 친한
👫	woman and man holding hands	bae | bestie | bff | couple | dating | flirt | friends | hand | hold | man | twins | woman	손을 잡고 있는 남녀	남녀 커플 | 데이트 | 모두 | 바람 | 사랑하는 | 손을 잡고 있는 남녀 | 연애 | 연인 | 친구 | 커플
👬	men holding hands	bae | bestie | bff | boys | brothers | couple | dating | flirt | friends | hand | hold | men | twins	손을 잡고 있는 두 명의 남자	게이 | 꼭 잡은 | 남성 커플 | 남자 | 데이트 | 동성 연인 | 동성 커플 | 모두 | 별자리 | 사랑에 빠진 | 성소수자 | 손 | 손을 잡고 있는 게이 커플 | 손을 잡고 있는 두 명의 남자 | 쌍둥이 | 연애 | 친구 | 친구들 | 커플 | 퀴어
💏	kiss	anniversary | babe | bae | couple | date | dating | heart | kiss | love | mwah | person | romance | together | xoxo	키스	기념일 | 데이트 | 로맨스 | 사랑 | 연애 | 연인 | 커플 | 키스 | 하트
👩‍❤‍💋‍👨	kiss: woman, man	anniversary | babe | bae | couple | date | dating | heart | kiss | love | man | mwah | person | romance | together | woman | xoxo	키스: 여자 남자	기념일 | 남자 | 데이트 | 로맨스 | 사랑 | 여자 | 연애 | 연인 | 커플 | 키스 | 하트
👨‍❤‍💋‍👨	kiss: man, man	anniversary | babe | bae | couple | date | dating | heart | kiss | love | man | mwah | person | romance | together | xoxo	키스: 남자 남자	기념일 | 남자 | 데이트 | 로맨스 | 사랑 | 연애 | 연인 | 커플 | 키스 | 하트
👩‍❤‍💋‍👩	kiss: woman, woman	anniversary | babe | bae | couple | date | dating | heart | kiss | love | mwah | person | romance | together | woman | xoxo	키스: 여자 여자	기념일 | 데이트 | 로맨스 | 사랑 | 여자 | 연애 | 연인 | 커플 | 키스 | 하트
💑	couple with heart	anniversary | babe | bae | couple | dating | heart | kiss | love | person | relationship | romance | together | you	연인	기념일 | 로맨스 | 사랑 | 연애 | 연애 중 | 연인 | 커플 | 키스 | 하트 | 하트가 있는 연인
👩‍❤‍👨	couple with heart: woman, man	anniversary | babe | bae | couple | dating | heart | kiss | love | man | person | relationship | romance | together | woman | you	연인: 여자 남자	기념일 | 남자 | 로맨스 | 사랑 | 여자 | 연애 | 연애 중 | 연인 | 커플 | 키스 | 하트 | 하트가 있는 연인
👨‍❤‍👨	couple with heart: man, man	anniversary | babe | bae | couple | dating | heart | kiss | love | man | person | relationship | romance | together | you	연인: 남자 남자	기념일 | 남자 | 로맨스 | 사랑 | 연애 | 연애 중 | 연인 | 커플 | 키스 | 하트 | 하트가 있는 연인
👩‍❤‍👩	couple with heart: woman, woman	anniversary | babe | bae | couple | dating | heart | kiss | love | person | relationship | romance | together | woman | you	연인: 여자 여자	기념일 | 로맨스 | 사랑 | 여자 | 연애 | 연애 중 | 연인 | 커플 | 키스 | 하트 | 하트가 있는 연인
👨‍👩‍👦	family: man, woman, boy	boy | child | family | man | woman	가족: 남자 여자 남자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👨‍👩‍👧	family: man, woman, girl	child | family | girl | man | woman	가족: 남자 여자 여자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👨‍👩‍👧‍👦	family: man, woman, girl, boy	boy | child | family | girl | man | woman	가족: 남자 여자 여자 아이 남자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👨‍👩‍👦‍👦	family: man, woman, boy, boy	boy | child | family | man | woman	가족: 남자 여자 남자 아이 남자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👨‍👩‍👧‍👧	family: man, woman, girl, girl	child | family | girl | man | woman	가족: 남자 여자 여자 아이 여자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👨‍👨‍👦	family: man, man, boy	boy | child | family | man	가족: 남자 남자 남자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마
👨‍👨‍👧	family: man, man, girl	child | family | girl | man	가족: 남자 남자 여자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자 아이
👨‍👨‍👧‍👦	family: man, man, girl, boy	boy | child | family | girl | man	가족: 남자 남자 여자 아이 남자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자 아이
👨‍👨‍👦‍👦	family: man, man, boy, boy	boy | child | family | man	가족: 남자 남자 남자 아이 남자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마
👨‍👨‍👧‍👧	family: man, man, girl, girl	child | family | girl | man	가족: 남자 남자 여자 아이 여자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자 아이
👩‍👩‍👦	family: woman, woman, boy	boy | child | family | woman	가족: 여자 여자 남자 아이	가족 | 남자 아이 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👩‍👩‍👧	family: woman, woman, girl	child | family | girl | woman	가족: 여자 여자 여자 아이	가족 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👩‍👩‍👧‍👦	family: woman, woman, girl, boy	boy | child | family | girl | woman	가족: 여자 여자 여자 아이 남자 아이	가족 | 남자 아이 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👩‍👩‍👦‍👦	family: woman, woman, boy, boy	boy | child | family | woman	가족: 여자 여자 남자 아이 남자 아이	가족 | 남자 아이 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👩‍👩‍👧‍👧	family: woman, woman, girl, girl	child | family | girl | woman	가족: 여자 여자 여자 아이 여자 아이	가족 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👨‍👦	family: man, boy	boy | child | family | man	가족: 남자 남자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마
👨‍👦‍👦	family: man, boy, boy	boy | child | family | man	가족: 남자 남자 아이 남자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마
👨‍👧	family: man, girl	child | family | girl | man	가족: 남자 여자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자 아이
👨‍👧‍👦	family: man, girl, boy	boy | child | family | girl | man	가족: 남자 여자 아이 남자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자 아이
👨‍👧‍👧	family: man, girl, girl	child | family | girl | man	가족: 남자 여자 아이 여자 아이	가족 | 남자 | 사람들 | 아빠 | 아이 | 엄마 | 여자 아이
👩‍👦	family: woman, boy	boy | child | family | woman	가족: 여자 남자 아이	가족 | 남자 아이 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👩‍👦‍👦	family: woman, boy, boy	boy | child | family | woman	가족: 여자 남자 아이 남자 아이	가족 | 남자 아이 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👩‍👧	family: woman, girl	child | family | girl | woman	가족: 여자 여자 아이	가족 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👩‍👧‍👦	family: woman, girl, boy	boy | child | family | girl | woman	가족: 여자 여자 아이 남자 아이	가족 | 남자 아이 | 사람들 | 아빠 | 아이 | 엄마 | 여자
👩‍👧‍👧	family: woman, girl, girl	child | family | girl | woman	가족: 여자 여자 아이 여자 아이	가족 | 사람들 | 아빠 | 아이 | 엄마 | 여자
🗣	speaking head	face | head | silhouette | speak | speaking	말하고 있는 옆얼굴	말하고 있는 옆얼굴 | 말하는 | 말함 | 머리 | 실루엣 | 얼굴
👤	bust in silhouette	bust | mysterious | shadow | silhouette	사람 그림자	미스테리한 | 사람 | 사람 그림자 | 상반신 | 상체 | 실루엣
👥	busts in silhouette	bff | bust | busts | everyone | friend | friends | people | silhouette	사람들 그림자	사람들 | 사람들 그림자 | 상반신 | 상체 | 상체 그림자 | 영원한 베스트프렌드 | 친구들
🫂	people hugging	comfort | embrace | farewell | friendship | goodbye | hello | hug | hugging | love | people | thanks	포옹하는 사람	고마워 | 굿바이 | 사랑 | 안녕 | 안아주기 | 우정 | 이별 | 잘 가 | 편안한 | 포옹 | 포옹하는 사람 | 허그
👪	family	child | family	가족	가족 | 사람들 | 아빠 | 아이 | 엄마
🧑‍🧑‍🧒	family: adult, adult, child	adult | child | family	가족: 성인, 성인, 아이	가족 | 성인 | 아이
